Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
snowflake data security;170;9.8;0.39;36100000;0.53,0.42,0.42,0.42,0.07,0.26,1.00,1.00,0.80,0.80,1.00,0.80;0.1;1,2;30
snowflake datawarehouse;170;3.81;0.19;9020000;1.00,0.26,0.04,0.00,0.04,0.05,0.32,0.03,0.17,0.00,0.17,0.01;0.1;1;34
data security in snowflake;140;0;0.33;35500000;0.52,0.52,0.66,0.52,0.09,0.33,0.80,0.80,0.80,1.00,1.00,1.00;0.05;1;26
data warehouse architect;140;3.83;0.22;149;0.17,0.21,0.17,0.11,0.11,0.17,0.17,0.14,0.11,0.21,0.03,0.05;0.1;1;18
data warehouse best practices;140;7.47;0.15;97500000;0.28,0.23,0.43,0.35,0.28,0.17,0.43,0.43,0.43,0.66,0.28,0.43;0.05;0;15
data warehouse diagram;140;0;0.02;133;0.65,0.21,0.34,0.34,0.28,0.28,0.43,0.28,0.53,0.65,0.21,1.00;0.05;1;41
data warehouse structure;140;2.69;0.25;104;0.53,0.07,0.19,0.34,0.42,0.34,0.53,0.53,0.65,0.80,0.53,1.00;0.05;1;32
how to build a data warehouse;140;5.2;0.63;257000000;0.53,0.53,0.42,0.42,0.65,0.42,1.00,1.00,0.42,0.53,0.19,0.42;0.05;1;25
retail data warehouse design;140;0;0;254000000;0.02,0.02,0.03,0.02,0.02,0.48,1.00,0.02,0.02,0.02,0.02,0.02;0.05;1;11
security in snowflake;140;0;0.01;124;0.19,0.52,0.52,0.52,0.09,0.09,0.80,0.80,0.66,1.00,1.00,1.00;0.15;1;37
snowflake top;140;0.53;1;211;0.23,0.11,0.08,0.11,0.08,0.11,0.11,0.15,0.15,0.23,0.54,0.66;0.15;1;22
types of data in data warehouse;140;3.15;0.06;158;0.65,0.42,0.42,0.65,0.53,0.42,0.26,0.34,0.42,0.65,0.65,0.42;0.1;1;23
warehouse architecture;140;6.58;0.09;194000000;0.43,0.43,0.43,0.43,0.43,0.28,0.43,0.34,0.65,0.34,0.43,0.34;0.05;1;24
best practices for data warehousing;110;7.47;0.15;172000000;0.66,0.66,0.42,0.42,0.42,0.19,0.52,1.00,0.80,0.23,0.19,0.66;0.05;0;15
best practices in data governance;110;7.15;0.55;233000000;0.15,0.07,0.26,0.19,0.42,0.53,1.00,0.53,0.07,0.26,0.65,0.42;0.05;0;33
build data warehouse;110;6.36;0.28;244000000;0.33,0.52,0.80,0.42,0.42,0.42,1.00,1.00,0.52,0.33,0.33,0.52;0.05;1;23
