Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
snowflake adaptive warehouse;110;0;0.03;299000;0.22,0.18,1.00,0.43,0.29,0.08,0.08,0.14,0.14,0.29,0.14,0.14;1;19
snowflake gen2 warehouse;110;5.79;0.05;169;0.00,0.34,0.81,1.00,0.81,0.65,0.53,0.21,0.21,0.21,0.12,0.21;1;16
describe warehouse snowflake;70;0;0.33;735000;1.00,0.23,0.52,1.00,0.11,0.11,0.41,0.11,0.11,0.11,0.11,0.11;2,3;23
equus capital partners snowflake power bi equus data warehouse;70;0;0;7980;0.77,1.00,0.33,0.00,0.11,0.00;1;4
snowflake data warehouse icon;70;0;0.33;98;0.41,0.52,0.52,0.41,0.41,0.64,0.29,0.29,0.29,0.23,0.11,0.23;1;21
snowflake data warehouse users;70;0;0;0;1.00,0.00;;0
snowflake use warehouse;70;0;0.03;7730000;0.78,0.64,0.64,0.64,0.50,0.35,0.50,0.14,0.14,0.14,0.14,0.14;1;16
snowflake virtual warehouse;70;8.28;0.09;1570000;0.50,0.64,1.00,0.50,0.50,0.64,0.50,0.35,0.35,0.35,0.78,0.50;1;39
snowflake warehouses;70;4;0.09;2320000;0.19,0.23,0.80,0.23,0.23,0.33,0.52,0.33,0.42,0.09,1.00,0.00;1;26
adaptive warehouse snowflake;50;0;0.02;301000;0.23,0.23,1.00,1.00,0.29,0.11,0.52,0.11,0.11,0.11,0.17,0.11;1,3;28
alter warehouse snowflake;50;0;0.33;107;0.41,0.41,0.41,0.29,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;2,3;33
best snowflake warehouse optimization partners;50;0;0;168;0.55,1.00,0.44,0.11,0.11,0.00,0.00;0;10
instacart uses snowflake data warehouse;50;0;0;0;1.00;;0
snowflake alter warehouse;50;0;0.01;349000;1.00,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;2,3;30
snowflake data warehouse platform;50;0;0.04;108;0.07,0.78,0.50,0.64,0.50,1.00,0.07,0.14,0.35,0.14,0.35,0.64;1,2;37
snowflake warehouse costs;50;12;0.19;2150000;0.14,0.00,0.28,0.64,0.50,1.00,0.21,0.50,0.50,0.14,0.07,0.07;1,2;44
snowflake warehouse pricing;50;0;0.13;9260000;0.03,0.05,0.08,0.18,0.15,0.18,0.03,0.11,0.15,0.11,0.08,0.03;2,3;28
snowflake x small warehouse;50;0;0.1;2020000;0.52,0.11,1.00,0.11,0.23,0.11,0.23,0.11,0.00,0.00,0.11,0.11;1,3;24
snowflakes data warehouse;50;3.81;0.19;120;0.00,0.00,0.02,0.09,0.09,0.09,0.11,0.07,0.07,0.07,0.14,0.09;1;38
use warehouse snowflake;50;0;0.03;7640000;0.52,0.41,0.41,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;1;14
what is snowflake data warehouse;50;2.06;0.19;134;0.09,0.09,0.14,0.42,0.33,0.52,0.42,0.42,0.42,0.52,0.80,0.52;1;42
data warehouse snowflake vs star;40;0;0.02;0;0.27,0.27,0.18,0.45,0.63,0.45,0.18,0.27,0.36,0.36,0.27,0.63;;0
how to select warehouse in snowflake;40;0;0.33;3050000;0.18,0.18,0.63,0.18,0.36,0.18,0.18,0.18,0.18,0.18,0.18,0.18;1;38
snowflake adaptive warehouses;40;0;0.04;179000;0.00,0.22,0.77,0.77,0.11,1.00,1.00,1.00,0.22,0.22,0.22,0.22;1,3;13
snowflake as data warehouse;40;0;0.57;8300000;0.14,0.64,0.14,0.14,0.14,0.00,0.14,0.14,0.14,0.14,0.14,0.14;1;34
snowflake data warehouse adoption;40;0;0;0;1.00,0.00;;0
snowflake data warehouse architecture;40;4.7;0.2;3620000;0.06,0.06,0.34,0.34,0.28,0.09,0.06,0.06,0.06,0.06,0.06,0.06;1;28
snowflake data warehouse clients;40;0;0;0;1.00,0.00;;0
snowflake data warehouse companies;40;0;0;0;1.00,0.00;;0
snowflake data warehouse features;40;0;0.5;3610000;0.00,0.18,1.00,1.00,0.18,0.18,0.45,0.09,0.18,0.18,0.36,0.18;1;43
snowflake data warehouse industry;40;0;0;0;1.00,0.00;;0
snowflake database vs warehouse;40;0;0.01;126;0.18,0.18,0.18,0.36,0.45,0.27,0.63,1.00,0.63,0.36,0.18,0.27;1,0;9
snowflake enterprise data warehouse;40;0;0.01;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00;;0
