Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
snowflake 100 gb data storage pricing;30;0;0;0;0.18,1.00,0.09,0.00;;0
snowflake compute pool pricing;30;18.48;0.27;145;1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;2,3;22
snowflake cortex ai pricing;30;0;0.1;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.71,0.57,0.57,1.00,0.28;;0
snowflake cortex analyst pricing;30;0;0.13;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.55,0.33,1.00,0.22,0.22;;0
aws snowflake pricing;20;0;0.26;0;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;0
bigquery vs snowflake pricing;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
cortex pricing snowflake;20;0;0.33;0;0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
how does snowflake pricing work;20;11.5;0.11;0;0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50;;0
linearb pricing snowflake;20;0;0;0;1.00;;0
pricing snowflake;20;0;0.33;0;0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03;;0
redshift vs snowflake pricing;20;0;0.33;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.18;;0
snowflake ai pricing;20;0;0.04;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake aws pricing;20;0;0.33;0;0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
snowflake business critical pricing;20;0;0.33;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
snowflake compute pricing;20;0;0.17;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;0
snowflake consumption based pricing;20;0;0.14;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake consumption pricing;20;0;0.33;0;0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake container services pricing;20;0;0.05;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake copilot pricing;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake cortex llm pricing;20;0;0.04;0;0.00,1.00,1.00,1.00,1.00;;0
snowflake cortex search pricing;20;0;0.33;0;0.66,0.33,0.33,0.66,0.66,0.66,0.66,1.00,0.66,0.66,0.66,0.66;;0
snowflake data marketplace pricing;20;0;0;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.00;;0
snowflake data warehouse pricing;20;0;0.03;0;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.21,0.14;;0
snowflake database pricing;20;5.59;0.33;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66;;0
snowflake db pricing;20;0;0.36;0;0.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
snowflake document ai pricing;20;0;0.07;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake edition pricing;20;0;0.07;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00,0.28;;0
snowflake editions pricing;20;0;0.14;0;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;0
snowflake enterprise pricing;20;5.1;0.33;0;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07;;0
snowflake gen2 pricing;20;0;0.33;0;0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake gen2 warehouse pricing;20;0;0.33;0;0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
