Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
optimove pricing;50;0;0.02;16200;0.09,0.09,0.09,0.14,0.09,0.09,0.09,0.09,0.09,1.00,0.80,0.09;0.05;2;20
reduce snowflake costs;50;20.54;0.95;10800000;0.36,0.27,0.36,0.36,0.36,0.45,1.00,1.00,0.81,0.18,0.18,0.18;0.4;1;20
snowflake compute cost;50;12;0.21;2590000;0.26,0.26,0.07,0.07,0.42,0.42,0.15,0.15,0.07,0.07,0.07,0.11;0.05;1,2;29
snowflake cost management tool travel expenses;50;0;0;2020000;0.21,0.28,1.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.2;1,3;20
snowflake cost monitoring;50;6.01;0.47;170;0.35,0.21,0.35,0.28,0.35,0.64,1.00,0.78,0.50,0.14,0.14,0.14;0.05;1,3;21
snowflake cost per query;50;0;0.17;3710000;0.05,0.03,0.03,0.04,0.05,0.05,0.10,0.10,0.07,0.02,0.03,0.05;0.05;1;30
snowflake query optimization companies;50;0;0;16500000;0.18,0.63,1.00,0.63,0.45,0.09;0.15;1;0
snowflakecostanalysis.com;50;0;0;109;0.00,1.00,0.00,0.00;0.1;1;20
evaluate the data cost optimization company keebo on snowflake migration;40;0;0;249;0.71,0.28,0.14,1.00,1.00,0.71,0.14;0.15;1;1
leading snowflake query optimization tools;40;0;0;20500000;0.28,1.00,1.00,0.57,0.57,0.00;0.1;1;4
monte carlo data snowflake cost optimization;40;0;0;98700;1.00,0.45,0.27,0.18,0.27,0.00;0.4;1;16
optimizing cost;40;207.05;0.24;146000000;0.02,0.02,0.02,0.02,0.02,0.02,0.15,0.04,0.00,0.00,0.00,0.23;0.1;1;39
optimizing costs;40;207.05;0.24;110000000;1.00,0.03,0.07,0.07,0.07,0.07,0.11,0.03,0.00,0.00,0.00,0.00;0.05;1;40
rockset snowflake cost analyzer;40;0;0;246000;1.00,0.33,0.11;0.1;0;19
rockset snowflake cost analyzer quickstart;40;0;0;18100;1.00,0.00,0.00;0.15;1;13
seemoredata snowflake cost optimization;40;0;0;14800;0.28,0.71,1.00;0.15;1,3;1
snowflake budget vs resource monitor;40;0;0.04;862000;0.11,0.11,1.00,0.11,0.11,0.52,0.11,0.11,0.11,0.11,0.11,0.11;0.05;1,0;15
snowflake cost optimization best practices;40;20.14;0.18;105;0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.81,0.27,0.18;0.6;0;29
snowflake cost reduction;40;0;0;11600000;1.00,0.71,0.57,0.42,0.28,0.42,1.00,1.00,0.71,0.28,0.28,0.14;0.6;1;24
