Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
credits_used_cloud_services snowflake;20;0;0.21;0;1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
how much do snowflake credits cost;20;0;0.05;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
how much does 1 credit cost in snowflake;20;0;0.33;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.18;;0
how much does a snowflake credit cost;20;0;0.01;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28;;0
how much is a snowflake credit;20;0;0.04;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
snowflake 1 credit cost;20;0;0.33;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;0
snowflake compute cost per credit;20;0;0.33;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00,0.28,0.28,0.28,0.28;;0
snowflake compute credit cost;20;0;0.33;0;0.00,0.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake compute credits;20;0;0.02;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake credit calculator;20;0;0.33;0;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;0
snowflake credit consumption;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake credit consumption table;20;0;0.02;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake credit cost calculator;20;0;0.1;0;0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50;;0
snowflake credit cost per hour;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake credit costs;20;24.49;0.04;0;0.00,0.00,0.00,0.00,0.80,0.00,0.60,1.00,0.80,0.60,0.80,1.00;;0
snowflake credit management;20;0;0;0;1.00;;0
snowflake credit rating;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake credit union;20;0;0.09;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
snowflake credit usage;20;0;0.33;0;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;0
snowflake credit usage by user;20;0;0.1;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66;;0
snowflake credit usage query;20;0;0;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00;;0
snowflake credit usage warehouse efficiency cost governance;20;0;0;0;1.00;;0
snowflake credits by warehouse size;20;0;0.33;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
snowflake credits per hour;20;0;0.07;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
snowflake credits per warehouse;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake credits per warehouse size;20;0;0.18;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake credits_used_cloud_services;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake free credits;20;0;0.33;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
snowflake mills credit union;20;0;0.07;0;0.28,0.28,0.28,0.28,0.28,0.00,0.28,0.28,0.28,0.28,0.28,0.28;;0
